"","x"
"1","Abalistes stellatus"
"2","Abudefduf sexfasciatus"
"3","Abudefduf vaigiensis"
"4","Acanthopagrus berda"
"5","Acanthururs nigrofuscus"
"6","Acanthurus blochii"
"7","Acanthurus dussumieri"
"8","Acanthurus leucosternon"
"9","Acanthurus mata"
"10","Acanthurus nigricauda"
"11","Acanthurus nigrofuscus"
"12","Acanthurus spp"
"13","Acanthurus tennenti"
"14","Acanthurus triostegus"
"15","Acanthurus xanthopterus"
"16","Aethaloperca rogaa"
"17","Aluterus scriptus"
"18","Amplyglyphidodon leucogaster"
"19","Anampses caeruleopunctatus"
"20","Anampses lineatus"
"21","Aphareus furca"
"22","Arothron hispidus"
"23","Arothron immaculatus"
"24","Arothron mappa"
"25","Arothron nigropunctatus"
"26","Balistapus undulatus"
"27","Bodianus axillaris"
"28","Brotula multibarbata"
"29","Caesio caerulaurea"
"30","Caesio xanthonota"
"31","Callistoctopus macropus"
"32","Calotomus carolinus"
"33","Cantherhines sandwichiensis"
"34","Cantherhines spp"
"35","Carangoides ferdau"
"36","Caranx sexfasciatus"
"37","Carchahinus melanopterus"
"38","Centropyge multispinis"
"39","Cephalopholis argus"
"40","Cephalopholis boenak"
"41","Cephalopholis merra"
"42","Cephalopholis spiloparaea"
"43","Cetoscarus bicolor"
"44","Chaetodon auriga"
"45","Chaetodon falcula"
"46","Chaetodon kleinii"
"47","Chaetodon lineolatus"
"48","Chaetodon lunula"
"49","Chaetodon melannotus"
"50","Chaetodon meyeri"
"51","Chaetodon nigropunctatus"
"52","Chaetodon selene"
"53","Chaetodon trifasciatus"
"54","Chaetodon vagabundus"
"55","Chaetodon xanthocephalus"
"56","Cheilinus oxycephalus"
"57","Cheilinus trilobatus"
"58","Cheilio inermis"
"59","Cheilodipterus artus"
"60","Cheilodipterus quinquelineatus"
"61","Chlorurus sordidus"
"62","Chlorurus strongycephalus"
"63","Chromis atripectoralis"
"64","Coris formosa"
"65","Coris spp"
"66","Ctenochaetus striatus"
"67","Dascyllus trimaculatus"
"68","Diagramma pictum"
"69","Diodon holocanthus"
"70","Diodon hystrix"
"71","Diodon liturosus"
"72","Echidna polyzona"
"73","Epinephelus caeruleopunctatus"
"74","Epinephelus coioides"
"75","Epinephelus fuscoguttatus"
"76","Epinephelus itajara"
"77","Epinephelus longispinis"
"78","Epinephelus malabaricus"
"79","Epinephelus merra"
"80","Epinephelus multinotatus"
"81","Gerres oyena"
"82","Gnathodentex aureolineatus"
"83","Gymnocranius grandoculus"
"84","Gymnothorax flavimarginatus"
"85","Gymnothorax undulatus"
"86","Gymonthorax favagineus"
"87","Heniochus acuminatus"
"88","Hipposcarus harid"
"89","Histiopterus typus"
"90","Kyphosus vaigiensis"
"91","Lactoria fornasini"
"92","Lagocephalus inermis"
"93","Lenthrinus mahsena"
"94","Leptoscarus vaigiensis"
"95","Lethrinus borbonicus valenciennes"
"96","Lethrinus conchyliatus"
"97","Lethrinus elogatus"
"98","Lethrinus enigmaticu"
"99","Lethrinus erythracanthus"
"100","Lethrinus geniviflattus"
"101","Lethrinus harak"
"102","Lethrinus lentjan"
"103","Lethrinus mahsena"
"104","Lethrinus microdon"
"105","Lethrinus nebulosus"
"106","Lethrinus obsoletus"
"107","Lethrinus olivaceus"
"108","Lethrinus rubrioperculatus"
"109","Lethrinus sanguineus"
"110","Lethrinus spp"
"111","Lethrinus variegatus"
"112","Lethrinus xanthochilus"
"113","Lutjanus argentimaculatus"
"114","Lutjanus bohar"
"115","Lutjanus boutton"
"116","Lutjanus campechanus"
"117","Lutjanus carponatus"
"118","Lutjanus fulviflamma"
"119","Lutjanus gibbus"
"120","Lutjanus kasmira"
"121","Lutjanus rivulatus"
"122","Lutjanus russelli"
"123","Lutjanus sebae"
"124","Macolar niger"
"125","Monoductylus argenteus"
"126","Monotaxinae grandoculus"
"127","Monotaxis grandoculus"
"128","Mugil cephalus"
"129","Mulloidichthys flavolineatus"
"130","Mulloidichthys vanicolensis"
"131","Mulloidichtys dentatus"
"132","Myripristis berndti"
"133","Myripristis melanosticta"
"134","Myripristis spp"
"135","Myrispistis hexagona"
"136","Naso annulatus"
"137","Naso branchycentron"
"138","Naso brevirostris"
"139","Naso fageni"
"140","Naso hexacanthus"
"141","Naso lituratus"
"142","Naso thynnoides"
"143","Naso tuberosus"
"144","Naso unicornis"
"145","Nebrius ferrugineus"
"146","Neoglyphidodon melas"
"147","Novaculichthys taeniourus"
"148","Ostracion cubicus"
"149","Ostracion meleagris"
"150","Oxychellinus bimaculatus"
"151","Pamadasys commersonnii"
"152","Papilloculiceps longiceps"
"153","Paracanthurus hepatus"
"154","Parapeneus cyclostomus"
"155","Parupeneaus indicus"
"156","Parupeneus barberinus"
"157","Parupeneus cyclostomus"
"158","Parupeneus heptacanthus"
"159","Parupeneus macronema"
"160","Parupeneus rubescens"
"161","Parupeneus spp"
"162","Pempheris adusta"
"163","Platax orbicularis"
"164","Platax teira"
"165","Plectohinchus cryterinus"
"166","Plectohinchus gaterinus"
"167","Plectohinchus gibbosus"
"168","Plectorhinchus chubbi"
"169","Plectorhinchus flavomaculatus"
"170","Plectorhinchus gibbosus"
"171","Plectorhinchus lineatus"
"172","Plectorhinchus picus"
"173","Plectorhinchus schotaf"
"174","Plectorhinchus sordidus"
"175","Plotosus lineatus"
"176","Pomacanthus chrysurus"
"177","Pomacanthus imperator"
"178","Pomacanthus semicirculatus"
"179","Priacanthus hamrur"
"180","Pseudalutarius nasicornis"
"181","Pterois miles"
"182","Rastrelliger kanagurta"
"183","Rhinecanthus aculeatus"
"184","Rhinecanthus rectangulus"
"185","Rhinopteria javanica"
"186","Sargocentron tieroides"
"187","Scarus atrilunula"
"188","Scarus falcinnis"
"189","Scarus festivus"
"190","Scarus frenatus"
"191","Scarus ghobban"
"192","Scarus globiceps"
"193","Scarus guacamaia"
"194","Scarus harid"
"195","Scarus niger"
"196","Scarus psitticus"
"197","Scarus rubroviolaceus"
"198","Scarus russelli"
"199","Scarus scaber"
"200","Scarus sordidus"
"201","Scarus spp"
"202","Scarus tricolor"
"203","Scolopsis bimaculata"
"204","Scolopsis ghanam"
"205","Scorpaenopsis diabolus"
"206","Siganus argenteus"
"207","Siganus bimeculetus"
"208","Siganus canaliculatus"
"209","Siganus lineatus"
"210","Siganus stellatus"
"211","Siganus sutor"
"212","Sufflamen chrysopterum"
"213","Synanceia verrucosa"
"214","Taeniura lymma"
"215","Tetrosomus gibbosus"
"216","Thalassoma hebraicum"
"217","Thalassoma purpureum"
"218","Umbrina canariensis"
"219","Upeneus sulphureus"
"220","Upeneus tragula"
"221","Variola louti"
"222","Wetmorella spp"
"223","Zanclus cornutus"
"224","Zebrasoma desjardinii"
"225","Zebrasoma velifer"
